"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kaelin Clay","CAR ","0.0","0.0","0.0","1.1","13.8","0.1","0.0","1.7"
"","high","0.0","0.0","0.0","1.6","20.5","0.1","0.0","2.7"
"","low","0.0","0.0","0.0","0.5","7.1","0.0","0.0","1.4"
"Eli Rogers","PIT ","0.0","0.0","0.0","1.3","13.9","0.1","0.1","1.7"
"","high","0.0","0.0","0.0","2.1","21.3","0.1","0.0","2.7"
"","low","0.0","0.0","0.0","0.5","6.0","0.0","0.1","0.7"
"Michael Floyd","MIN ","0.0","0.0","0.0","0.9","12.3","0.1","0.0","1.7"
"","high","0.0","0.0","0.0","1.7","20.9","0.1","0.0","2.7"
"","low","0.0","0.0","0.0","0.3","3.5","0.0","0.0","0.4"
"Alex Erickson","CIN ","0.0","0.4","0.0","0.9","12.6","0.1","0.0","1.6"
"","high","0.1","0.9","0.0","1.6","25.4","0.1","0.0","3.1"
"","low","0.0","0.0","0.0","0.3","3.9","0.0","0.0","0.6"
"Chris Godwin","TB ","0.0","0.0","0.0","0.9","11.6","0.1","0.0","1.5"
"","high","0.0","0.0","0.0","2.4","30.1","0.2","0.0","4.2"
"","low","0.0","0.0","0.0","0.4","4.0","0.0","0.0","0.5"
"Jarius Wright","MIN ","0.0","0.0","0.0","1.0","12.0","0.1","0.1","1.5"
"","high","0.0","0.0","0.0","1.7","21.7","0.2","0.0","3.1"
"","low","0.0","0.0","0.0","0.2","2.3","0.0","0.1","0.5"
"ArDarius Stewart","NYJ ","0.0","0.0","0.0","0.9","10.3","0.1","0.0","1.5"
"","high","0.0","0.1","0.0","1.5","17.1","0.1","0.0","2.3"
"","low","0.0","0.0","0.0","0.4","5.0","0.0","0.0","0.5"
"Chester Rogers","IND ","0.0","0.0","0.0","0.8","10.4","0.0","0.0","1.2"
"","high","0.0","0.0","0.0","1.3","15.5","0.1","0.0","3.1"
"","low","0.0","0.0","0.0","0.3","4.1","0.0","0.0","0.5"
"Justin Hunter","PIT ","0.0","0.0","0.0","0.5","7.5","0.1","0.0","1.2"
"","high","0.0","0.0","0.0","0.9","14.3","0.1","0.0","2.9"
"","low","0.0","0.0","0.0","0.2","2.9","0.0","0.0","0.4"
"Josh Bellamy","CHI ","0.0","0.0","0.0","0.7","9.4","0.0","0.0","1.2"
"","high","0.0","0.0","0.0","1.0","13.5","0.1","0.0","2.8"
"","low","0.0","0.0","0.0","0.3","4.6","0.0","0.0","0.5"
"Sammie Coates","CLE ","0.0","0.0","0.0","0.7","8.9","0.0","0.0","1.1"
"","high","0.0","0.0","0.0","0.7","10.5","0.1","0.0","1.4"
"","low","0.0","0.0","0.0","0.7","7.4","0.0","0.0","0.7"
"Cody Latimer","DEN ","0.0","0.0","0.0","0.6","7.4","0.0","0.0","1.0"
"","high","0.0","0.0","0.0","1.3","15.8","0.1","0.0","3.3"
"","low","0.0","0.0","0.0","0.3","2.8","0.0","0.0","0.3"
"Tommylee Lewis","NO ","0.0","0.1","0.0","0.7","8.2","0.0","0.0","1.0"
"","high","0.0","0.2","0.0","1.9","21.5","0.1","0.0","2.8"
"","low","0.0","0.0","0.0","0.2","2.7","0.0","0.0","0.3"
"Mack Hollins","PHI ","0.0","0.0","0.0","0.6","8.3","0.0","0.0","1.0"
"","high","0.0","0.0","0.0","1.1","14.0","0.1","0.0","1.8"
"","low","0.0","0.0","0.0","0.3","5.0","0.0","0.0","0.6"
"Isaiah McKenzie","DEN ","0.0","0.1","0.0","0.5","6.7","0.0","0.0","0.9"
"","high","0.0","0.2","0.0","1.2","15.4","0.1","0.0","3.2"
"","low","0.0","0.0","0.0","0.2","2.2","0.0","0.0","0.2"
"Dontrelle Inman","LAC ","0.0","0.0","0.0","0.6","7.0","0.0","0.0","0.9"
"","high","0.0","0.0","0.0","1.4","16.9","0.1","0.0","2.3"
"","low","0.0","0.0","0.0","0.3","2.6","0.0","0.0","0.4"
"Griff Whalen","BAL ","0.0","0.0","0.0","1.0","9.7","0.1","0.2","0.9"
"","high","0.0","0.0","0.0","1.6","15.9","0.1","0.2","2.2"
"","low","0.0","0.0","0.0","0.4","3.5","0.0","0.2","0.4"
"Amara Darboh","SEA ","0.0","0.0","0.0","0.6","7.3","0.0","0.0","0.9"
"","high","0.0","0.0","0.0","1.2","16.0","0.1","0.0","2.1"
"","low","0.0","0.0","0.0","0.3","3.7","0.0","0.0","0.4"
